#,Name,Start,End,Length
M1,début,0:00.000,,
M1,Marqueur,0:50.248,,
R1,1-1,0:00.000,0:03.681,0:03.681
R2,1-2,0:03.681,0:07.691,0:04.010
R3,1-3,0:07.691,0:11.860,0:04.168
R4,1-4,0:11.860,0:16.031,0:04.170
R5,1-5,0:16.031,0:19.958,0:03.927
R6,2-1,0:19.958,0:23.906,0:03.947
R7,2-2,0:23.906,0:28.035,0:04.129
R8,2-3,0:28.035,0:31.029,0:02.993
R9,2-4,0:31.029,0:34.029,0:03.000
R10,2-5,0:34.029,0:36.866,0:02.836
R11,3-1,0:36.866,0:40.972,0:04.106
R12,3-2,0:40.972,0:45.472,0:04.500
R13,3-3,0:45.472,0:50.248,0:04.776
R14,3-4,0:50.248,0:54.226,0:03.977
R15,3-5,0:54.226,0:58.228,0:04.002
R16,3-6,0:58.228,1:02.010,0:03.782
R17,4-1,1:02.010,1:05.768,0:03.757
R18,4-2,1:05.768,1:12.809,0:07.041
R19,4-3,1:12.809,1:16.754,0:03.944
R20,4-4,1:16.754,1:20.600,0:03.845
R21,4-5,1:20.600,1:24.938,0:04.338
R22,4-6,1:24.938,1:39.259,0:14.321
