#,Name,Start,End,Length
M1,La Manuelita disait,0:44.400,,
M2,C'est la Carmencita,1:52.800,,
R1,1-1,0:00.000,0:01.193,0:01.193
R2,1-2,0:01.193,0:04.800,0:03.606
R3,2-1,0:04.800,0:09.600,0:04.800
R4,2-2,0:09.600,0:14.400,0:04.800
R5,2-3,0:14.400,0:19.200,0:04.800
R6,2-4,0:19.200,0:24.001,0:04.801
R7,3-1,0:24.001,0:27.602,0:03.601
R8,3-2,0:27.602,0:31.201,0:03.598
R9,3-3,0:31.201,0:36.000,0:04.798
R10,3-4,0:36.000,0:39.600,0:03.600
R11,4-1,0:39.600,0:44.400,0:04.800
R12,4-2,0:44.400,0:48.000,0:03.600
R13,4-3,0:48.000,0:51.600,0:03.600
R14,4-4,0:51.600,0:55.200,0:03.600
R15,4-5,0:55.200,0:58.801,0:03.601
R16,5-1,0:58.801,1:02.400,0:03.598
R17,5-2,1:02.400,1:07.201,0:04.801
R18,5-3,1:07.201,1:10.800,0:03.598
R19,5-4,1:10.800,1:14.400,0:03.600
R20,5-5,1:14.400,1:19.200,0:04.800
R21,6-1,1:19.200,1:24.000,0:04.800
R22,6-2,1:24.000,1:28.800,0:04.800
R23,6-3,1:28.800,1:33.600,0:04.800
R24,6-4,1:33.600,1:38.399,0:04.799
R25,7-1,1:38.399,1:43.200,0:04.800
R26,7-2,1:43.200,1:48.000,0:04.800
R27,7-3,1:48.000,1:55.200,0:07.200
R28,7-4,1:55.200,1:58.807,0:03.607
R29,7-5,1:58.807,2:02.400,0:03.592
R30,8-1,2:02.400,2:06.007,0:03.607
R31,8-2,2:06.007,2:09.600,0:03.592
R32,8-3,2:09.600,2:14.400,0:04.800
R33,9-1,2:14.400,2:18.000,0:03.600
R34,9-2,2:18.000,2:22.791,0:04.791
R35,9-3,2:22.791,2:26.400,0:03.608
R36,9-4,2:26.400,2:31.200,0:04.800
R37,10-1,2:31.200,2:36.000,0:04.800
R38,10-2,2:36.000,2:42.000,0:06.000
R39,10-3,2:42.000,2:46.799,0:04.799
R40,10-4,2:46.799,2:51.607,0:04.808
R41,11-1,2:51.607,2:57.600,0:05.992
R42,11-2,2:57.600,3:03.607,0:06.007
R43,11-3,3:03.607,3:09.600,0:05.992
R44,11-4,3:09.600,3:14.776,0:05.176
