#,Name,Start,End,Length
M1,,0:08.138,,
M2,,0:28.038,,
M3,,0:48.037,,
M4,,1:24.812,,
M5,,1:35.122,,
M6,,1:55.924,,
R0,1-1,0:00.000,0:02.478,0:02.478
R1,1-2,0:02.478,0:07.020,0:04.541
R2,2-1,0:07.020,0:14.268,0:07.248
R3,2-2,0:14.268,0:19.181,0:04.912
R4,3-1,0:19.181,0:23.935,0:04.754
R5,3-2,0:23.935,0:31.141,0:07.205
R6,4-1,0:31.141,0:38.327,0:07.186
R7,5-1,0:38.327,0:46.044,0:07.717
R8,6-1,0:46.044,0:51.719,0:05.675
R9,6-2,0:51.719,0:56.558,0:04.838
R10,7-1,0:56.558,1:01.355,0:04.797
R11,7-2,1:01.355,1:05.998,0:04.642
R12,8-1,1:05.998,1:10.685,0:04.687
R13,8-2,1:10.685,1:15.405,0:04.719
R14,9-1,1:15.405,1:20.021,0:04.616
R15,9-2,1:20.021,1:25.734,0:05.713
R16,10-1,1:25.734,1:30.439,0:04.705
R17,10-2,1:30.439,1:35.122,0:04.683
R18,11-1,1:35.122,1:43.730,0:08.607
R19,12-1,1:43.730,1:48.907,0:05.176
R20,13-1,1:48.907,1:54.095,0:05.187
R21,14-1,1:54.095,1:58.978,0:04.883
R22,15-1,1:58.978,2:03.465,0:04.487
R23,16-1,2:03.465,2:20.412,0:16.946
