#,Name,Start,End,Length
M1,,0:25.657,,
M2,,0:42.982,,
M3,,1:07.192,,
M4,,1:21.610,,
R1,1-1,0:00.000,0:00.967,0:00.967
R2,1-2,0:00.967,0:06.013,0:05.045
R3,1-3,0:06.013,0:10.146,0:04.133
R4,2-1,0:10.146,0:14.227,0:04.081
R5,2-2,0:14.227,0:18.405,0:04.178
R6,3-1,0:18.405,0:22.558,0:04.152
R7,3-2,0:22.558,0:27.682,0:05.123
R8,4-1,0:27.682,0:32.834,0:05.151
R9,4-2,0:32.834,0:36.821,0:03.987
R10,5-1,0:36.821,0:41.959,0:05.137
R11,5-2,0:41.959,0:48.694,0:06.734
R12,6-1,0:48.694,0:54.144,0:05.449
R13,6-2,0:54.144,0:59.580,0:05.435
R14,7-1,0:59.580,1:06.092,0:06.512
R15,7-2,1:06.092,1:10.299,0:04.206
R16,8-1,1:10.299,1:14.431,0:04.132
R17,8-2,1:14.431,1:18.583,0:04.151
R18,9-1,1:18.583,1:22.656,0:04.072
R19,9-2,1:22.656,1:26.932,0:04.276
R20,10-1,1:26.932,1:31.116,0:04.184
R21,10-2,1:31.116,1:35.264,0:04.147
R22,11-1,1:35.264,1:43.214,0:07.949
