#,Name,Start,End,Length
R1,1-3,0:00.000,0:07.384,0:07.384
R2,1-4,0:07.384,0:19.020,0:11.636
R3,2-1,0:19.020,0:30.025,0:11.005
R4,2-2,0:30.025,0:40.839,0:10.813
R5,3-1,0:40.839,0:51.490,0:10.650
R6,3-2,0:51.490,0:58.718,0:07.227
R7,4-1,0:58.718,1:09.907,0:11.189
R8,4-2,1:09.907,1:21.308,0:11.401
R9,5-1,1:21.308,1:32.243,0:10.934
R10,5-2,1:32.243,1:43.222,0:10.979
R11,6-1,1:43.222,1:55.009,0:11.786
R12,6-2,1:55.009,2:06.471,0:11.461
R13,7-1,2:06.471,2:18.236,0:11.765
R14,7-2,2:18.236,2:28.026,0:09.789
