#,Name,Start,End,Length
M1,01a,1:41.451,,
R1,1-3,0:00.000,0:09.606,0:09.606
R2,1-4,0:09.606,0:25.258,0:15.651
R3,2-1,0:25.258,0:40.026,0:14.767
R4,2-2,0:40.026,0:54.237,0:14.211
R5,3-1,0:54.237,1:08.320,0:14.082
R6,3-2,1:08.320,1:17.914,0:09.594
R7,4-1,1:17.914,1:32.031,0:14.116
R8,4-2,1:32.031,1:46.233,0:14.201
R9,5-1,1:46.233,2:00.237,0:14.003
R10,5-2,2:00.237,2:14.850,0:14.613
R11,6-1,2:14.850,2:28.306,0:13.456
R12,6-2,2:28.306,2:42.236,0:13.929
R13,7-1,2:42.236,2:57.623,0:15.387
R14,7-2,2:57.623,3:11.223,0:13.599
