#,Name,Start,End,Length
M1,14,0:24.246,,
M2,15,0:46.605,,
M3,16,1:12.987,,
M4,17,1:49.642,,
M5,18,2:13.622,,
M6,19,2:26.521,,
R1,1-1,0:00.000,0:17.040,0:17.040
R2,1-2,0:17.040,0:33.835,0:16.794
R3,1-3,0:33.835,0:51.381,0:17.546
R4,2-1,0:51.381,1:05.819,0:14.438
R5,2-2,1:05.819,1:15.401,0:09.582
R6,3-1,1:15.401,1:27.401,0:11.999
R7,3-2,1:27.401,1:36.978,0:09.577
R8,4-1,1:36.978,1:49.642,0:12.663
R9,4-2,1:49.642,2:01.629,0:11.986
R10,5-1,2:01.629,2:13.622,0:11.992
R11,5-2,2:13.622,2:29.561,0:15.939
