#,Name,Start,End,Length
M0, A1, 0:00,,
M1,A2,0:59.602,,
M2,B,2:01.741,,
M3,C,2:31.533,,
M4,A,3:41.409,,
M5,coda,4:41.805,,
R1,1-1,0:00.000,0:09.025,0:09.025
R2,1-2,0:09.025,0:18.291,0:09.266
R3,1-3,0:18.291,0:29.937,0:11.645
R4,1-1,0:29.937,0:38.653,0:08.716
R5,1-2,0:38.653,0:47.874,0:09.221
R6,1-3,0:47.874,0:59.602,0:11.728
R7,1-4,0:59.602,1:10.109,0:10.506
R8,1-5,1:10.109,1:20.244,0:10.135
R9,1-6,1:20.244,1:30.569,0:10.324
R10,1-4,1:30.569,1:41.377,0:10.808
R11,1-5,1:41.377,1:51.322,0:09.944
R12,1-6,1:51.322,2:01.741,0:10.419
R13,2-1,2:01.741,2:12.503,0:10.762
R14,2-2,2:12.503,2:21.088,0:08.585
R15,2-3,2:21.088,2:31.533,0:10.444
R16,2-4,2:31.533,2:48.669,0:17.136
R17,2-5,2:48.669,3:05.789,0:17.120
R18,2-6,3:05.789,3:24.157,0:18.368
R19,2-7,3:24.157,3:41.409,0:17.252
R20,3-1,3:41.409,3:54.027,0:12.618
R21,3-2,3:54.027,4:05.633,0:11.606
R22,3-3,4:05.633,4:17.685,0:12.051
R23,3-4,4:17.685,4:29.356,0:11.670
R24,3-5,4:29.356,4:41.805,0:12.449
R25,3-6,4:41.805,4:53.530,0:11.724
R26,3-7,4:53.530,5:16.211,0:22.681
