#,Name,Start,End,Length
R1,1-1,0:00.000,0:09.025,0:09.025
R2,1-2,0:09.025,0:18.291,0:09.266
R3,1-3,0:18.291,0:29.937,0:11.645
R4,1-1,0:29.937,0:38.653,0:08.716
R5,1-2,0:38.653,0:47.874,0:09.221
R6,1-3,0:47.874,0:59.602,0:11.728
R7,1-4,0:59.602,1:08.045,0:08.442
R8,1-5,1:08.045,1:18.329,0:10.284
R9,1-6,1:18.329,1:30.569,0:12.240
R10,1-4,1:30.569,1:39.278,0:08.709
R11,1-5,1:39.278,1:49.470,0:10.192
R12,1-6,1:49.470,2:01.741,0:12.270
R13,2-1,2:01.741,2:08.854,0:07.113
R14,2-2,2:08.854,2:19.262,0:10.408
R15,2-3,2:19.262,2:31.533,0:12.270
R16,2-4,2:31.533,2:48.669,0:17.136
R17,2-5,2:48.669,3:05.789,0:17.120
R18,2-6,3:05.789,3:24.157,0:18.368
R19,2-7,3:24.157,3:41.409,0:17.252
R20,3-1,3:41.409,3:51.895,0:10.486
R21,3-2,3:51.895,4:03.447,0:11.552
R22,3-3,4:03.447,4:16.007,0:12.560
R23,3-4,4:16.007,4:27.223,0:11.216
R24,3-5,4:27.223,4:41.805,0:14.582
R25,3-6,4:41.805,4:51.437,0:09.632
R26,3-7,4:51.437,5:16.211,0:24.774
