#,Name,Start,End,Length
M1,,1:00.900,,
M2,,1:46.333,,
R1,1-1,0:00.000,0:19.001,0:19.001
R2,1-2,0:19.001,0:29.081,0:10.080
R3,1-3,0:29.081,0:39.967,0:10.885
R4,1-4,0:39.967,0:51.823,0:11.856
R5,2-1,0:51.823,1:00.900,0:09.076
R6,2-2,1:00.900,1:11.790,0:10.890
R7,2-3,1:11.790,1:23.598,0:11.808
R8,2-4,1:23.598,1:34.383,0:10.785
R9,2-5,1:34.383,1:46.333,0:11.949
R10,3-1,1:46.333,1:57.213,0:10.880
R11,3-2,1:57.213,2:08.878,0:11.665
R12,3-3,2:08.878,2:19.899,0:11.021
R13,3-4,2:19.899,2:32.653,0:12.753
R14,3-5,2:32.653,2:51.553,0:18.900
