#,Name,Start,End,Length
R1,1-1,0:00.000,0:08.224,0:08.224
R2,1-2,0:08.224,0:14.396,0:06.171
R3,1-3,0:14.396,0:20.623,0:06.227
R4,1-4,0:20.623,0:26.888,0:06.265
R5,1-5,0:26.888,0:34.033,0:07.145
R6,2-1,0:34.033,0:40.330,0:06.296
R7,2-2,0:40.330,0:45.403,0:05.073
R8,2-3,0:45.403,0:50.574,0:05.170
R9,2-4,0:50.574,0:56.827,0:06.253
R10,2-5,0:56.827,1:03.019,0:06.192
R11,2-6,1:03.019,1:08.171,0:05.152
R12,3-1,1:08.171,1:18.475,0:10.304
R13,3-2,1:18.475,1:28.810,0:10.334
R14,3-3,1:28.810,1:39.210,0:10.400
R15,3-4,1:39.210,1:47.419,0:08.209
R16,3-5,1:47.419,1:55.741,0:08.321
R17,3-6,1:55.741,2:03.963,0:08.222
R18,4-1,2:03.963,2:11.372,0:07.408
R19,4-2,2:11.372,2:18.599,0:07.227
R20,4-3,2:18.599,2:25.790,0:07.190
R21,4-4,2:25.790,2:33.021,0:07.230
R22,4-5,2:33.021,2:40.237,0:07.216
R23,4-6,2:40.237,2:47.555,0:07.318
R24,5-1,2:47.555,2:53.749,0:06.194
R25,5-2,2:53.749,2:59.952,0:06.202
R26,5-3,2:59.952,3:06.161,0:06.209
R27,5-4,3:06.161,3:12.360,0:06.198
R28,5-5,3:12.360,3:18.569,0:06.208
R29,5-6,3:18.569,3:27.199,0:08.629
