#,Name,Start,End,Length
M1,50,0:00.000,,
M2,54,0:24.000,,
M3,58,0:46.222,,
M4,63,1:06.911,,
M5,69,1:25.959,,
M6,76,1:43.350,,
R1,1-1,0:00.000,0:14.400,0:14.400
R2,1-2,0:14.400,0:24.000,0:09.600
R3,1-1,0:24.000,0:37.333,0:13.333
R4,1-2,0:37.333,0:46.222,0:08.888
R5,1-1,0:46.222,0:58.636,0:12.413
R6,1-2,0:58.636,1:06.911,0:08.275
R7,1-1,1:06.911,1:18.340,0:11.428
R8,1-2,1:18.340,1:25.959,0:07.619
R9,1-1,1:25.959,1:36.394,0:10.434
R10,1-2,1:36.394,1:43.350,0:06.956
R11,1-1,1:43.350,1:52.824,0:09.473
R12,1-2,1:52.824,1:59.140,0:06.315
