#,Name,Start,End,Length
M1,50,0:00.000,,
M2,54,0:24.000,,
M3,58,0:46.222,,
M4,63,1:06.911,,
M5,69,1:25.959,,
M6,76,1:43.350,,
R1,1-2,0:00.000,0:09.600,0:09.600
R2,1-3,0:09.600,0:24.000,0:14.400
R4,1-2,0:24.000,0:32.888,0:08.888
R6,1-3,0:32.888,0:46.222,0:13.333
R7,1-2,0:46.222,0:54.498,0:08.275
R9,1-3,0:54.498,1:06.911,0:12.413
R10,1-2,1:06.911,1:14.530,0:07.619
R12,1-3,1:14.530,1:25.959,0:11.428
R13,1-2,1:25.959,1:32.916,0:06.956
R15,1-3,1:32.916,1:43.350,0:10.434
R16,1-2,1:43.350,1:49.666,0:06.315
R18,1-3,1:49.666,1:59.140,0:09.473
