#,Name,Start,End,Length
M1,50,0:00.000,,
M2,54,0:26.400,,
M3,58,0:50.844,,
M4,63,1:13.603,,
M5,69,1:34.555,,
M6,76,1:53.685,,
R1,1-4,0:00.000,0:12.000,0:12.000
R2,1-5,0:12.000,0:26.400,0:14.400
R4,1-4,0:26.400,0:37.511,0:11.111
R6,1-5,0:37.511,0:50.844,0:13.333
R7,1-4,0:50.844,1:01.189,0:10.344
R9,1-5,1:01.189,1:13.603,0:12.413
R10,1-4,1:13.603,1:23.126,0:09.523
R12,1-5,1:23.126,1:34.555,0:11.428
R13,1-4,1:34.555,1:43.251,0:08.695
R15,1-5,1:43.251,1:53.685,0:10.434
R16,1-4,1:53.685,2:01.580,0:07.894
R18,1-5,2:01.580,2:11.054,0:09.473
