#,Name,Start,End,Length
M1,80,0:00.000,,
M2,92,1:25.500,,
M3,104,2:39.847,,
M4,116,3:45.617,,
M5,132,4:44.582,,
M6,152,5:36.400,,
R1,1-3,0:00.000,0:24.750,0:24.750
R2,1-4,0:24.750,0:45.000,0:20.250
R3,1-5,0:45.000,1:05.250,0:20.250
R4,2-1,1:05.250,1:25.500,0:20.250
R5,1-3,1:25.500,1:47.021,0:21.521
R6,1-4,1:47.021,2:04.630,0:17.608
R7,1-5,2:04.630,2:22.239,0:17.608
R8,2-1,2:22.239,2:39.847,0:17.608
R9,1-3,2:39.847,2:58.886,0:19.038
R10,1-4,2:58.886,3:14.463,0:15.576
R11,1-5,3:14.463,3:30.040,0:15.576
R12,2-1,3:30.040,3:45.617,0:15.576
R13,1-3,3:45.617,4:02.686,0:17.068
R14,1-4,4:02.686,4:16.651,0:13.965
R15,1-5,4:16.651,4:30.617,0:13.965
R16,2-1,4:30.617,4:44.582,0:13.965
R17,1-3,4:44.582,4:59.582,0:15.000
R18,1-4,4:59.582,5:11.855,0:12.272
R19,1-5,5:11.855,5:24.128,0:12.272
R20,2-1,5:24.128,5:36.400,0:12.272
R21,1-3,5:36.400,5:49.427,0:13.026
R22,1-4,5:49.427,6:00.084,0:10.657
R23,1-5,6:00.084,6:10.742,0:10.657
R24,2-1,6:10.742,6:21.400,0:10.657
