#,Name,Start,End,Length
M1,80,0:00.000,,
M2,92,0:54.000,,
M3,104,1:40.956,,
M4,116,2:22.494,,
M5,132,2:59.736,,
M6,152,3:32.463,,
R1,2-2,0:00.000,0:04.500,0:04.500
R2,2-3,0:04.500,0:22.500,0:18.000
R3,2-4,0:22.500,0:40.500,0:18.000
R4,2-2,0:40.500,0:54.000,0:13.500
R5,2-3,0:54.000,0:57.913,0:03.913
R6,2-4,0:57.913,1:13.565,0:15.652
R7,2-2,1:13.565,1:29.217,0:15.652
R8,2-3,1:29.217,1:40.956,0:11.739
R9,2-4,1:40.956,1:44.418,0:03.461
R10,2-2,1:44.418,1:58.264,0:13.846
R11,2-3,1:58.264,2:12.110,0:13.846
R12,2-4,2:12.110,2:22.494,0:10.384
R13,2-2,2:22.494,2:25.598,0:03.103
R14,2-3,2:25.598,2:38.012,0:12.413
R15,2-4,2:38.012,2:50.426,0:12.413
R16,2-2,2:50.426,2:59.736,0:09.310
R17,2-3,2:59.736,3:02.463,0:02.727
R18,2-4,3:02.463,3:13.372,0:10.909
R19,2-2,3:13.372,3:24.281,0:10.909
R20,2-3,3:24.281,3:32.463,0:08.181
R21,2-4,3:32.463,3:34.832,0:02.368
R22,2-2,3:34.832,3:44.305,0:09.473
R23,2-3,3:44.305,3:53.779,0:09.473
R24,2-4,3:53.779,4:00.884,0:07.105
