#,Name,Start,End,Length
M1,80,0:00.000,,
M2,92,1:25.500,,
M3,104,2:39.847,,
M4,116,3:45.617,,
M5,132,4:44.582,,
M6,152,5:36.400,,
R1,2-5,0:00.000,0:24.750,0:24.750
R2,2-6,0:24.750,0:45.000,0:20.250
R3,3-1,0:45.000,1:05.250,0:20.250
R4,3-2,1:05.250,1:25.500,0:20.250
R5,2-5,1:25.500,1:47.021,0:21.521
R6,2-6,1:47.021,2:04.630,0:17.608
R7,3-1,2:04.630,2:22.239,0:17.608
R8,3-2,2:22.239,2:39.847,0:17.608
R9,2-5,2:39.847,2:58.886,0:19.038
R10,2-6,2:58.886,3:14.463,0:15.576
R11,3-1,3:14.463,3:30.040,0:15.576
R12,3-2,3:30.040,3:45.617,0:15.576
R13,2-5,3:45.617,4:02.686,0:17.068
R14,2-6,4:02.686,4:16.651,0:13.965
R15,3-1,4:16.651,4:30.617,0:13.965
R16,3-2,4:30.617,4:44.582,0:13.965
R17,2-5,4:44.582,4:59.582,0:15.000
R18,2-6,4:59.582,5:11.855,0:12.272
R19,3-1,5:11.855,5:24.128,0:12.272
R20,3-2,5:24.128,5:36.400,0:12.272
R21,2-5,5:36.400,5:49.427,0:13.026
R22,2-6,5:49.427,6:00.084,0:10.657
R23,3-1,6:00.084,6:10.742,0:10.657
R24,3-2,6:10.742,6:21.400,0:10.657
