#,Name,Start,End,Length
M1,80,0:00.000,,
M2,92,0:56.250,,
M3,104,1:45.163,,
M4,116,2:28.432,,
M5,132,3:07.225,,
M6,152,3:41.316,,
R1,3-3,0:00.000,0:22.500,0:22.500
R2,3-4,0:22.500,0:40.500,0:18.000
R3,3-5,0:40.500,0:56.250,0:15.750
R4,3-3,0:56.250,1:15.815,0:19.565
R5,3-4,1:15.815,1:31.467,0:15.652
R6,3-5,1:31.467,1:45.163,0:13.695
R7,3-3,1:45.163,2:02.470,0:17.307
R8,3-4,2:02.470,2:16.316,0:13.846
R9,3-5,2:16.316,2:28.432,0:12.115
R10,3-3,2:28.432,2:43.949,0:15.517
R11,3-4,2:43.949,2:56.363,0:12.413
R12,3-5,2:56.363,3:07.225,0:10.862
R13,3-3,3:07.225,3:20.861,0:13.636
R14,3-4,3:20.861,3:31.770,0:10.909
R15,3-5,3:31.770,3:41.316,0:09.545
R16,3-3,3:41.316,3:53.158,0:11.842
R17,3-4,3:53.158,4:02.632,0:09.473
R18,3-5,4:02.632,4:10.921,0:08.289
