#,Name,Start,End,Length
M1,66,0:00.000,,
M2,72,0:36.363,,
M3,80,1:09.696,,
M4,88,1:39.696,,
M5,96,2:06.969,,
M6,104,2:31.969,,
R1,1-1,0:00.000,0:18.181,0:18.181
R2,1-2,0:18.181,0:29.090,0:10.909
R3,1-3,0:29.090,0:39.696,0:10.606
R4,1-1,0:39.696,0:53.030,0:13.333
R5,1-2,0:53.030,1:03.030,0:10.000
R6,1-3,1:03.030,1:12.696,0:09.666
R7,1-1,1:12.696,1:24.696,0:12.000
R8,1-2,1:24.696,1:33.696,0:09.000
R9,1-3,1:33.696,1:42.424,0:08.727
R10,1-1,1:42.424,1:53.333,0:10.909
R11,1-2,1:53.333,2:01.515,0:08.181
R12,1-3,2:01.515,2:09.469,0:07.954
R13,1-1,2:09.469,2:19.469,0:10.000
R14,1-2,2:19.469,2:26.969,0:07.500
R15,1-3,2:26.969,2:34.277,0:07.307
R16,1-1,2:34.277,2:43.508,0:09.230
R17,1-2,2:43.508,2:50.431,0:06.923
R18,1-3,2:50.431,2:57.354,0:06.923
