#,Name,Start,End,Length
M1,66,0:00.000,,
M2,72,0:43.636,,
M3,80,1:23.636,,
M4,88,1:59.636,,
M5,96,2:32.363,,
M6,104,3:02.363,,
R1,2-1,0:00.000,0:18.181,0:18.181
R2,2-2,0:18.181,0:32.727,0:14.545
R3,2-3,0:32.727,0:43.636,0:10.909
R4,2-1,0:43.636,1:00.303,0:16.666
R5,2-2,1:00.303,1:13.636,0:13.333
R6,2-3,1:13.636,1:23.636,0:10.000
R7,2-1,1:23.636,1:38.636,0:15.000
R8,2-2,1:38.636,1:50.636,0:12.000
R9,2-3,1:50.636,1:59.636,0:09.000
R10,2-1,1:59.636,2:13.272,0:13.636
R11,2-2,2:13.272,2:24.181,0:10.909
R12,2-3,2:24.181,2:32.363,0:08.181
R13,2-1,2:32.363,2:44.863,0:12.500
R14,2-2,2:44.863,2:54.863,0:10.000
R15,2-3,2:54.863,3:02.363,0:07.500
R16,2-1,3:02.363,3:13.902,0:11.538
R17,2-2,3:13.902,3:23.132,0:09.230
R18,2-3,3:23.132,3:30.055,0:06.923
