#,Name,Start,End,Length
M1,40,0:00.000,,
M2,44,0:30.000,,
M3,48,0:57.272,,
M4,52,1:22.272,,
M5,56,1:45.349,,
M6,60,2:06.778,,
M7,66,2:26.778,,
M8,72,2:44.960,,
R1,1-1,0:00.000,0:30.000,0:30.000
R3,1-2,0:30.000,0:32.727,0:02.727
R4,1-1,0:32.727,0:57.272,0:24.545
R5,1-2,0:57.272,0:59.772,0:02.500
R6,1-1,0:59.772,1:22.272,0:22.500
R7,1-2,1:22.272,1:24.580,0:02.307
R8,1-1,1:24.580,1:45.349,0:20.769
R9,1-2,1:45.349,1:47.492,0:02.142
R10,1-1,1:47.492,2:06.778,0:19.285
R11,1-2,2:06.778,2:08.778,0:02.000
R12,1-1,2:08.778,2:26.778,0:18.000
R13,1-2,2:26.778,2:28.596,0:01.818
R14,1-1,2:28.596,2:44.960,0:16.363
R15,1-2,2:44.960,2:46.626,0:01.666
R16,1-1,2:46.626,3:01.626,0:15.000
R17,1-2,3:01.626,3:02.460,0:00.833
