#,Name,Start,End,Length
M1,40,0:00.000,,
M2,44,0:30.000,,
M3,48,0:57.272,,
M4,52,1:22.272,,
M5,56,1:45.349,,
M6,60,2:06.778,,
M7,66,2:26.778,,
M8,72,2:44.960,,
R1,1-4,0:00.000,0:30.000,0:30.000
R2,2-1,0:30.000,0:32.727,0:02.727
R3,1-4,0:32.727,0:57.272,0:24.545
R4,2-1,0:57.272,0:59.772,0:02.500
R5,1-4,0:59.772,1:22.272,0:22.500
R6,2-1,1:22.272,1:24.580,0:02.307
R7,1-4,1:24.580,1:45.349,0:20.769
R8,2-1,1:45.349,1:47.492,0:02.142
R9,1-4,1:47.492,2:06.778,0:19.285
R10,2-1,2:06.778,2:08.778,0:02.000
R11,1-4,2:08.778,2:26.778,0:18.000
R12,2-1,2:26.778,2:28.596,0:01.818
R13,1-4,2:28.596,2:44.960,0:16.363
R14,2-1,2:44.960,2:46.626,0:01.666
R15,1-4,2:46.626,3:01.626,0:15.000
R16,2-1,3:01.626,3:03.293,0:01.666
