#,Name,Start,End,Length
M1,40,0:00.000,,
M2,44,0:36.000,,
M3,48,1:08.727,,
M4,52,1:38.727,,
M5,56,2:06.419,,
M6,60,2:32.133,,
M7,66,2:56.133,,
M8,72,3:17.952,,
R1,2-3,0:00.000,0:18.000,0:18.000
R2,2-4,0:18.000,0:38.727,0:20.727
R3,2-3,0:38.727,0:52.363,0:13.636
R4,2-4,0:52.363,1:11.227,0:18.863
R5,2-3,1:11.227,1:23.727,0:12.500
R6,2-4,1:23.727,1:41.034,0:17.307
R7,2-3,1:41.034,1:52.573,0:11.538
R8,2-4,1:52.573,2:08.562,0:15.989
R9,2-3,2:08.562,2:19.276,0:10.714
R10,2-4,2:19.276,2:34.133,0:14.857
R11,2-3,2:34.133,2:44.133,0:10.000
R12,2-4,2:44.133,2:57.952,0:13.818
R13,2-3,2:57.952,3:07.042,0:09.090
R14,2-4,3:07.042,3:19.618,0:12.575
R15,2-3,3:19.618,3:27.952,0:08.333
R16,2-4,3:27.952,3:42.952,0:15.000
