#,Name,Start,End,Length
M1,60,0:00.000,,
M2,69,0:33.000,,
M3,80,1:01.695,,
M4,92,1:26.445,,
M5,104,1:47.967,,
M6,116,2:07.005,,
M7,132,2:24.074,,
R1,1-1,0:00.000,0:21.000,0:21.000
R2,1-2,0:21.000,0:33.000,0:12.000
R3,1-1,0:33.000,0:51.260,0:18.260
R4,1-2,0:51.260,1:01.695,0:10.434
R5,1-1,1:01.695,1:17.445,0:15.750
R6,1-2,1:17.445,1:26.445,0:09.000
R7,1-1,1:26.445,1:40.141,0:13.695
R8,1-2,1:40.141,1:47.967,0:07.826
R9,1-1,1:47.967,2:00.082,0:12.115
R10,1-2,2:00.082,2:07.005,0:06.923
R11,1-1,2:07.005,2:17.867,0:10.862
R12,1-2,2:17.867,2:24.074,0:06.206
R13,1-1,2:24.074,2:33.620,0:09.545
R14,1-2,2:33.620,2:39.074,0:05.454
