#,Name,Start,End,Length
M1,60,0:00.000,,
M2,69,0:30.000,,
M3,80,0:56.086,,
M4,92,1:18.586,,
M5,104,1:38.152,,
M6,116,1:55.459,,
M7,132,2:10.977,,
R1,1-2,0:00.000,0:12.000,0:12.000
R2,1-3,0:12.000,0:30.000,0:18.000
R3,1-4,0:30.000,0:31.739,0:01.739
R4,1-2,0:31.739,0:40.434,0:08.695
R5,1-3,0:40.434,0:56.086,0:15.652
R6,1-4,0:56.086,0:57.586,0:01.500
R7,1-2,0:57.586,1:05.086,0:07.500
R8,1-3,1:05.086,1:18.586,0:13.500
R9,1-4,1:18.586,1:19.891,0:01.304
R10,1-2,1:19.891,1:26.413,0:06.521
R11,1-3,1:26.413,1:38.152,0:11.739
R12,1-4,1:38.152,1:39.306,0:01.153
R13,1-2,1:39.306,1:45.075,0:05.769
R14,1-3,1:45.075,1:55.459,0:10.384
R15,1-4,1:55.459,1:56.494,0:01.034
R16,1-2,1:56.494,2:01.666,0:05.172
R17,1-3,2:01.666,2:10.977,0:09.310
R18,1-4,2:10.977,2:11.886,0:00.909
R19,1-2,2:11.886,2:16.431,0:04.545
R20,1-3,2:16.431,2:24.613,0:08.181
R21,1-4,2:24.613,2:25.522,0:00.909
