#,Name,Start,End,Length
M1,60,0:00.000,,
M2,69,0:27.000,,
M3,80,0:50.478,,
M4,92,1:10.728,,
M5,104,1:28.336,,
M6,116,1:43.913,,
M7,132,1:57.879,,
R1,1-4,0:00.000,0:21.000,0:21.000
R2,1-5,0:21.000,0:27.000,0:06.000
R3,1-4,0:27.000,0:45.260,0:18.260
R4,1-5,0:45.260,0:50.478,0:05.217
R6,1-4,0:50.478,1:06.228,0:15.750
R7,1-5,1:06.228,1:10.728,0:04.500
R8,1-4,1:10.728,1:24.423,0:13.695
R9,1-5,1:24.423,1:28.336,0:03.913
R10,1-4,1:28.336,1:40.452,0:12.115
R11,1-5,1:40.452,1:43.913,0:03.461
R12,1-4,1:43.913,1:54.775,0:10.862
R13,1-5,1:54.775,1:57.879,0:03.103
R14,1-4,1:57.879,2:07.424,0:09.545
R15,1-5,2:07.424,2:10.606,0:03.181
