#,Name,Start,End,Length
M1,60,0:00.000,,
M2,69,0:36.000,,
M3,80,1:07.304,,
M4,92,1:34.304,,
M5,104,1:57.782,,
M6,116,2:18.551,,
M7,132,2:37.172,,
R1,2-3,0:00.000,0:15.000,0:15.000
R2,2-4,0:15.000,0:30.000,0:15.000
R3,2-5,0:30.000,0:36.000,0:06.000
R4,2-3,0:36.000,0:49.043,0:13.043
R5,2-4,0:49.043,1:02.086,0:13.043
R6,2-5,1:02.086,1:07.304,0:05.217
R7,2-3,1:07.304,1:18.554,0:11.250
R8,2-4,1:18.554,1:29.804,0:11.250
R9,2-5,1:29.804,1:34.304,0:04.500
R10,2-3,1:34.304,1:44.086,0:09.782
R11,2-4,1:44.086,1:53.869,0:09.782
R12,2-5,1:53.869,1:57.782,0:03.913
R13,2-3,1:57.782,2:06.436,0:08.653
R14,2-4,2:06.436,2:15.090,0:08.653
R15,2-5,2:15.090,2:18.551,0:03.461
R16,2-3,2:18.551,2:26.310,0:07.758
R17,2-4,2:26.310,2:34.069,0:07.758
R18,2-5,2:34.069,2:37.172,0:03.103
R19,2-3,2:37.172,2:43.990,0:06.818
R20,2-4,2:43.990,2:50.808,0:06.818
R21,2-5,2:50.808,2:53.990,0:03.181
