#,Name,Start,End,Length
M1,30,0:00.000,,
M2,35,0:56.000,,
M3,40,1:44.000,,
M4,45,2:26.000,,
M5,50,3:03.333,,
M6,55,3:36.933,,
M7,60,4:07.478,,
R1,1-1,0:00.000,0:24.000,0:24.000
R2,1-2,0:24.000,0:40.000,0:16.000
R3,1-3,0:40.000,0:56.000,0:16.000
R4,1-1,0:56.000,1:16.571,0:20.571
R5,1-2,1:16.571,1:30.285,0:13.714
R6,1-3,1:30.285,1:44.000,0:13.714
R7,1-1,1:44.000,2:02.000,0:18.000
R8,1-2,2:02.000,2:14.000,0:12.000
R9,1-3,2:14.000,2:26.000,0:12.000
R10,1-1,2:26.000,2:42.000,0:16.000
R11,1-2,2:42.000,2:52.666,0:10.666
R12,1-3,2:52.666,3:03.333,0:10.666
R13,1-1,3:03.333,3:17.733,0:14.400
R14,1-2,3:17.733,3:27.333,0:09.600
R15,1-3,3:27.333,3:36.933,0:09.600
R16,1-1,3:36.933,3:50.024,0:13.090
R17,1-2,3:50.024,3:58.751,0:08.727
R18,1-3,3:58.751,4:07.478,0:08.727
R19,1-1,4:07.478,4:19.478,0:12.000
R20,1-2,4:19.478,4:27.478,0:08.000
R21,1-3,4:27.478,4:35.478,0:08.000
