#,Name,Start,End,Length
M1,30,0:00.000,,
M2,35,0:56.000,,
M3,40,1:44.000,,
M4,45,2:26.000,,
M5,50,3:03.333,,
M6,55,3:36.933,,
M7,60,4:07.478,,
R1,2-3,0:00.000,0:24.000,0:24.000
R2,2-4,0:24.000,0:40.000,0:16.000
R3,2-5,0:40.000,0:56.000,0:16.000
R4,2-3,0:56.000,1:16.571,0:20.571
R5,2-4,1:16.571,1:30.285,0:13.714
R6,2-5,1:30.285,1:44.000,0:13.714
R7,2-3,1:44.000,2:02.000,0:18.000
R8,2-4,2:02.000,2:14.000,0:12.000
R9,2-5,2:14.000,2:26.000,0:12.000
R10,2-3,2:26.000,2:42.000,0:16.000
R11,2-4,2:42.000,2:52.666,0:10.666
R12,2-5,2:52.666,3:03.333,0:10.666
R13,2-3,3:03.333,3:17.733,0:14.400
R14,2-4,3:17.733,3:27.333,0:09.600
R15,2-5,3:27.333,3:36.933,0:09.600
R16,2-3,3:36.933,3:50.024,0:13.090
R17,2-4,3:50.024,3:58.751,0:08.727
R18,2-5,3:58.751,4:07.478,0:08.727
R19,2-3,4:07.478,4:19.478,0:12.000
R20,2-4,4:19.478,4:27.478,0:08.000
R21,2-5,4:27.478,4:35.478,0:08.000
