#,Name,Start,End,Length
M9,40,0:00.000,,
M10,44,0:30.000,,
M11,48,0:57.272,,
M12,52,1:22.272,,
M13,56,1:45.349,,
M14,60,2:06.778,,
M15,66,2:26.778,,
M16,72,2:44.960,,
R2,1-1,0:00.000,0:11.978,0:11.978
R3,1-2,0:11.978,0:30.000,0:18.021
R4,1-1,0:30.000,0:40.909,0:10.909
R5,1-2,0:40.909,0:57.272,0:16.363
R6,1-1,0:57.272,1:07.272,0:10.000
R7,1-2,1:07.272,1:22.272,0:15.000
R8,1-1,1:22.272,1:31.503,0:09.230
R9,1-2,1:31.503,1:45.349,0:13.846
R10,1-1,1:45.349,1:53.921,0:08.571
R11,1-2,1:53.921,2:06.778,0:12.857
R12,1-1,2:06.778,2:14.778,0:08.000
R13,1-2,2:14.778,2:26.778,0:12.000
R14,1-1,2:26.778,2:34.050,0:07.272
R15,1-2,2:34.050,2:44.960,0:10.909
R16,1-1,2:44.960,2:51.626,0:06.666
R17,1-2,2:51.626,3:01.626,0:10.000
