#,Name,Start,End,Length
M1,,0:26.973,,
M2,,0:45.172,,
M3,,0:58.523,,
M4,,1:32.213,,
R1,1-1,0:00.000,0:04.512,0:04.512
R2,2-1,0:04.512,0:13.856,0:09.343
R3,2-2,0:13.856,0:21.361,0:07.504
R4,3-1,0:21.361,0:26.973,0:05.611
R5,3-2,0:26.973,0:34.471,0:07.497
R6,4-1,0:34.471,0:40.152,0:05.680
R7,4-2,0:40.152,0:45.659,0:05.507
R8,5-1,0:45.659,0:51.189,0:05.530
R9,5-2,0:51.189,0:56.676,0:05.486
R10,6-1,0:56.676,1:03.946,0:07.270
R11,6-2,1:03.946,1:11.178,0:07.232
R12,7-1,1:11.178,1:18.282,0:07.104
R13,7-2,1:18.282,1:25.482,0:07.200
R14,8-1,1:25.482,1:32.213,0:06.731
R15,8-2,1:32.213,1:41.049,0:08.835
R16,9-1,1:41.049,1:48.313,0:07.264
R17,9-2,1:48.313,1:56.508,0:08.195
R18,10-1,1:56.508,2:09.230,0:12.721
