#,Name,Start,End,Length
R0,1-1,0:00.000,0:04.155,0:04.155
R1,1-2,0:04.155,0:10.244,0:06.089
R2,1-3,0:10.244,0:18.595,0:08.350
R3,1-4,0:18.595,0:26.803,0:08.208
R4,2-1,0:26.803,0:31.974,0:05.171
R5,2-2,0:31.974,0:37.113,0:05.139
R6,2-3,0:37.113,0:42.312,0:05.198
R7,2-4,0:42.312,0:47.400,0:05.088
R8,3-1,0:47.400,0:52.472,0:05.072
R9,3-2,0:52.472,0:57.304,0:04.832
R10,3-3,0:57.304,1:02.233,0:04.929
R11,4-1,1:02.233,1:07.464,0:05.230
R12,4-2,1:07.464,1:12.456,0:04.992
R13,5-1,1:12.456,1:17.336,0:04.880
R14,5-2,1:17.336,1:22.088,0:04.752
R15,6-1,1:22.088,1:26.680,0:04.592
R16,6-2,1:26.680,1:31.321,0:04.641
R17,7-1,1:31.321,1:35.816,0:04.494
R18,7-2,1:35.816,1:42.380,0:06.564
