#,Name,Start,End,Length
R1,1-1,0:00.000,0:04.752,0:04.752
R2,1-2,0:04.752,0:10.256,0:05.504
R3,2-1,0:10.256,0:18.416,0:08.160
R4,2-2,0:18.416,0:25.504,0:07.088
R5,2-3,0:25.504,0:35.406,0:09.902
R6,2-4,0:35.406,0:40.336,0:04.929
R7,3-1,0:40.336,0:43.629,0:03.293
R22,3-2,0:43.629,0:46.928,0:03.298
R8,3-3,0:46.928,0:50.320,0:03.392
R9,3-4,0:50.320,0:55.710,0:05.390
R10,4-1,0:55.710,1:01.184,0:05.473
R11,4-2,1:01.184,1:06.830,0:05.646
R12,4-3,1:06.830,1:12.017,0:05.186
R13,4-4,1:12.017,1:19.870,0:07.853
R14,5-1,1:19.870,1:25.968,0:06.097
R15,5-2,1:25.968,1:31.486,0:05.518
R16,5-3,1:31.486,1:36.542,0:05.056
R17,5-4,1:36.542,1:42.912,0:06.369
R18,6-1,1:42.912,1:48.176,0:05.264
R19,6-2,1:48.176,1:53.472,0:05.296
R20,7-1,1:53.472,1:56.206,0:02.734
R21,7-2,1:56.206,1:58.043,0:01.836
