#,Name,Start,End,Length
M1,30,0:00.000,,
M2,35,0:40.000,,
M3,40,1:14.285,,
M4,45,1:44.285,,
M5,50,2:10.952,,
M6,55,2:34.952,,
M7,60,2:56.770,,
R1,2-1,0:00.000,0:24.000,0:24.000
R2,2-2,0:24.000,0:40.000,0:16.000
R3,2-1,0:40.000,1:00.571,0:20.571
R4,2-2,1:00.571,1:14.285,0:13.714
R5,2-1,1:14.285,1:32.285,0:18.000
R6,2-2,1:32.285,1:44.285,0:12.000
R7,2-1,1:44.285,2:00.285,0:16.000
R8,2-2,2:00.285,2:10.952,0:10.666
R9,2-1,2:10.952,2:25.352,0:14.400
R10,2-2,2:25.352,2:34.952,0:09.600
R11,2-1,2:34.952,2:48.043,0:13.090
R12,2-2,2:48.043,2:56.770,0:08.727
R13,2-1,2:56.770,3:08.770,0:12.000
R14,2-2,3:08.770,3:16.770,0:08.000
