#,Name,Start,End,Length
M1,passage:A,0:00.000,,
M2,44,0:30.000,,
M3,48,0:57.272,,
M4,52,1:22.272,,
M5,56,1:45.349,,
M6,60,2:06.778,,
M7,66,2:26.778,,
M8,72,2:44.960,,
M9,passage:B,3:11.626,,
M10,44,3:41.626,,
M11,48,4:08.899,,
M12,52,4:33.899,,
M13,56,4:56.976,,
M14,60,5:18.404,,
M15,66,5:38.404,,
M16,72,5:56.586,,
M17,passage:C,6:23.253,,
M18,44,6:53.253,,
M19,48,7:20.526,,
M20,52,7:45.526,,
M21,56,8:08.603,,
M22,60,8:30.031,,
M23,66,8:50.031,,
M24,72,9:08.213,,
M25,passage:D,9:31.546,,
M26,44,10:01.546,,
M27,48,10:28.819,,
M28,52,10:53.819,,
M29,56,11:16.896,,
M30,60,11:38.325,,
M31,66,11:58.325,,
M32,72,12:16.506,,
M33,passage:E,12:39.840,,
M34,44,13:09.840,,
M35,48,13:37.112,,
M36,52,14:02.112,,
M37,56,14:25.189,,
M38,60,14:46.618,,
M39,66,15:06.618,,
M40,72,15:24.800,,
M41,passage:F,15:48.133,,
M42,44,16:24.133,,
M43,8,16:56.860,,
M44,52,17:26.860,,
M45,56,17:54.553,,
M46,60,18:20.267,,
M47,66,18:44.267,,
M48,72,19:06.085,,
R1,1-1,0:00.000,3:02.460,3:02.460
R2,1-1,3:11.626,3:23.605,0:11.978
R3,1-2,3:23.605,3:41.626,0:18.021
R4,1-1,3:41.626,3:52.535,0:10.909
R5,1-2,3:52.535,4:08.899,0:16.363
R6,1-1,4:08.899,4:18.899,0:10.000
R7,1-2,4:18.899,4:33.899,0:15.000
R8,1-1,4:33.899,4:43.130,0:09.230
R9,1-2,4:43.130,4:56.976,0:13.846
R10,1-1,4:56.976,5:05.547,0:08.571
R11,1-2,5:05.547,5:18.404,0:12.857
R12,1-1,5:18.404,5:26.404,0:08.000
R13,1-2,5:26.404,5:38.404,0:12.000
R14,1-1,5:38.404,5:45.677,0:07.272
R15,1-2,5:45.677,5:56.586,0:10.909
R16,1-1,5:56.586,6:03.253,0:06.666
R17,1-2,6:03.253,6:13.253,0:10.000
R18,1-2,6:23.253,9:25.713,3:02.460
R19,1-3,9:31.546,12:34.840,3:03.293
R20,1-4,12:39.840,12:57.840,0:18.000
R21,1-5,12:57.840,13:09.840,0:12.000
R22,1-4,13:09.840,13:26.203,0:16.363
R23,1-5,13:26.203,13:37.112,0:10.909
R24,1-4,13:37.112,13:52.112,0:15.000
R25,1-5,13:52.112,14:02.112,0:10.000
R26,1-4,14:02.112,14:15.959,0:13.846
R27,1-5,14:15.959,14:25.189,0:09.230
R28,1-4,14:25.189,14:38.046,0:12.857
R29,1-5,14:38.046,14:46.618,0:08.571
R30,1-4,14:46.618,14:58.618,0:12.000
R31,1-5,14:58.618,15:06.618,0:08.000
R32,1-4,15:06.618,15:17.527,0:10.909
R33,1-5,15:17.527,15:24.800,0:07.272
R34,1-4,15:24.800,15:34.800,0:10.000
R35,1-5,15:34.800,15:41.466,0:06.666
R36,1-5,15:48.133,19:31.085,3:42.952
R37,A,0:00.000,3:02.460,3:02.460
R38,B,3:11.626,6:13.253,3:01.626
R39,C,6:23.253,9:25.713,3:02.460
R40,D,9:31.546,12:34.840,3:03.293
R41,E,12:39.840,15:41.466,3:01.626
R42,F,15:48.133,19:31.085,3:42.952
