#,Name,Start,End,Length
M1,,0:06.034,,
M2,,0:08.904,,
M3,,0:13.024,,
M4,,0:18.543,,
M5,,0:21.473,,
M6,,0:24.489,,
M7,,0:29.910,,
M8,,0:34.904,,
M9,,0:39.913,,
M10,,0:44.747,,
M11,,0:48.242,,
M12,,0:51.675,,
M13,,0:55.068,,
M14,,0:58.670,,
M14,,1:02.174,,
M15,,1:05.638,,
M16,,1:09.041,,
M17,,1:12.550,,
M18,,1:15.457,,
M19,,1:20.510,,
M20,,1:25.379,,
M21,,1:30.396,,
M22,,1:33.903,,
M23,,1:37.471,,
M24,,1:40.929,,
M25,,1:44.441,,
M26,,1:48.044,,
M27,,1:51.618,,
M28,,1:55.036,,
M29,,1:58.653,,
M30,,2:01.952,,
M31,,2:06.076,,
M32,,2:10.553,,
M33,,2:15.071,,
R1,,0:00.000,0:21.473,0:21.473
R2,,0:21.473,0:44.747,0:23.274
R3,,0:44.747,1:02.174,0:17.426
R4,,1:02.174,1:20.510,0:18.335
R5,,1:20.510,1:40.929,0:20.419
R6,,1:40.929,1:58.653,0:17.724
R7,,1:58.653,2:25.906,0:27.253
